,0
BTG1,0.027820342199167167
ARRDC3,0.016707459273481353
GAS2L1,0.01602585274555899
NFKBIA,0.01593733410493827
LOC102723692,0.015729117565788403
CXCR4,0.015569286169114903
OR2B2,0.014031433147421647
CCR6,0.01
ATP2B1,0.01
GFRA3,0.009291521486643438
EPHB6,0.009253365973072214
OSER1,0.009253365973072214
QPRT,0.009171195652173912
ORC6,0.009092261904761905
TNFRSF11A,0.009092261904761905
FEM1A,0.008983333333333333
GREM1,0.008673913043478261
EGFL6,0.008673913043478261
STXBP5L,0.008616780045351474
STC2,0.008616780045351474
OLIG3,0.008581395348837208
EIF1,0.008540669856459331
SEL1L3,0.008540669856459331
NOSTRIN,0.00854066985645933
KIRREL2,0.008529610366769053
ASAH1,0.008493827160493827
SYT14,0.008493827160493827
FZD5,0.00843989769820972
ISCU,0.00843989769820972
SMCO2,0.008310039907582441
PSMB8-AS1,0.008310039907582441
LOC101929162,0.008305555555555556
RNF139,0.008305555555555556
LOC101927501,0.008221574344023324
SEMA6A-AS1,0.008123076923076922
POLM,0.008059384941675504
PDP2,0.008019480519480518
RBFOX2,0.007972083472083473
KIF7,0.007928585946573752
CPEB2,0.007920454545454543
CREB1,0.007878293294211136
PANX2,0.007878293294211136
HNRNPA3,0.007867132867132864
DGKD,0.0077898550724637685
GINS4,0.0077096370463078856
MYOZ2,0.007676934789067142
LIPI,0.007676934789067142
ANKRD20A1,0.0076171875
IRX3,0.007520325203252033
FOS,0.007520325203252032
MT1H,0.007510204081632653
PERM1,0.007486212061142681
VAV3,0.007486212061142681
TAGAP,0.0073985098616105496
PSMB8-AS1,0.007385714285714285
GAS2L3,0.007385714285714285
DNMT3B,0.007359307359307359
CXCR5,0.007239819004524886
DAOA,0.007221418667675049
HIST1H2BM,0.007067307692307694
PPFIA4,0.007067307692307694
CCDC89,0.0070544250645994825
LTB,0.00702439024390244
KLHL24,0.006974206349206348
DYM,0.006959740488344607
ZHX2,0.006919981869981869
MIR6719,0.006898225308641974
ADK,0.0068338610266801755
SNORA80B,0.006833861026680175
CSNK2B,0.006817561533738907
FBXW7,0.006737967914438502
HERPUD1,0.0067321428571428575
DPY19L2P3,0.006697533444816054
CAT,0.006679601944136828
CATSPER1,0.006611111111111111
DXO,0.006584546472564389
STEAP1,0.006584546472564389
MT1A,0.006539322415896449
NDUFV2-AS1,0.006512531200031201
CCL14,0.006507806985163166
ZDHHC11,0.006469907407407408
YTHDC2,0.006469907407407408
MIR3687-2,0.006390532544378701
DSG2,0.006338535414165668
LINC-PINT,0.006258330217967265
MIR548O,0.00615557568438003
SLC25A26,0.006098182454800102
CCDC141,0.005992161433337905
ZNF251,0.005748564455928798
MIR34A,0.005745675600994749
KIAA1671,0.0055147058823529415
CCDC184,0.004730212355212354
ERCC6L2,0.0036564897698209715
TM9SF2,0.0036094674556213
TTC23,0.0033888888888888883
C15orf48,0.003267857142857143
CD74,0.003267857142857143
SOX18,0.003262032085561497
STIL,0.0031066972243442834
LINC01857,0.0030257936507936518
RASSF7,0.00297560975609756
PKMYT1,0.002873331180017226
CTTN,0.0028722365776629338
HLA-DPB1,0.0028684594921007966
BRCA2,0.0028640789649192993
ALDH3A2,0.0028356874664759524
STH,0.002760180995475114
C3orf33,0.002759890572390572
ARL10,0.0027084027084027075
TMTC4,0.0026142857142857153
TXLNA,0.0026108802183487383
ELMO3,0.002551987203149994
HLA-DMA,0.002519034714156665
LINC02032,0.002504222983897044
SPINT2,0.002486413043478261
SESTD1,0.002479674796747968
TBC1D14,0.0024581124072110285
TLE6,0.0024400000000000003
IL18RAP,0.002388811188811189
MIR29B2,0.0023828124999999995
MATR3,0.0023759057971014506
GTF2H2,0.0023622601654638264
CAPN7,0.002290362953692114
EIF1B,0.002290362953692114
TRIM26,0.002283440550133097
GPRIN3,0.0022596884498480244
RANBP1,0.002251309242997223
SCOC-AS1,0.002163033569283569
LINC00476,0.002154631083202511
LINC02139,0.002132867132867135
HLA-A,0.0021180555555555553
GAS7,0.0020795454545454554
WIF1,0.0020760068065796933
ZNF91,0.0019910240718074255
LINC01473,0.0019821828507438815
RASA4B,0.0019805194805194806
ENO1,0.0019561233838949403
OAT,0.0019322141273360786
GNL1,0.00191602564102564
FAM83H,0.0018944099378881982
MMP15,0.0018769230769230772
LOC105372179,0.0018108151476251607
LOC105372476,0.0017784256559766766
FRMD6,0.0017065476190476184
CLVS2,0.0016944444444444457
